id,login,name,salary
e0001,hpotter,Harry Potter,1234.00
e0002,rwesley,Ron Weasley,19234.50
e0003,ssnape,Severus Snape,4000.00
e0004,rhagrid,Rubeus Hagrid,4000.00
e0005,voldemort,Lord Voldemort,523.40
e0006,gwesley,Ginny Weasley,4000.00
e0007,hgranger,Hermione Granger,0.00
e0008,adumbledore,Albus Dumbledore,34.23
e0009,dmalfoy,Draco Malfoy,34234.50
e0010,basilisk,Basilisk,23.43
e0011,hpotter1,Harry Potter,1234.00
e0012,rwesley1,Ron Weasley,19234.50
e0013,ssnape1,Severus Snape,4000.00
e0014,rhagrid1,Rubeus Hagrid,4000.00
e0015,voldemort1,Lord Voldemort,523.40
e0016,gwesley1,Ginny Weasley,4000.00
e0017,hgranger1,Hermione Granger,0.00
e0018,adumbledore1,Albus Dumbledore,34.23
e0019,dmalfoy1,Draco Malfoy,34234.50
e0020,basilisk1,Basilisk,23.43
e0021,hpotter2,Harry Potter,1234.00
e0022,rwesley2,Ron Weasley,19234.50
e0023,ssnape2,Severus Snape,4000.00
e0024,rhagrid2,Rubeus Hagrid,4000.00
e0025,voldemort2,Lord Voldemort,523.40
e0026,gwesley2,Ginny Weasley,4000.00
e0027,hgranger2,Hermione Granger,0.00
e0028,adumbledore2,Albus Dumbledore,34.23
e0029,dmalfoy2,Draco Malfoy,34234.50
e0030,basilisk2,Basilisk,23.43
e0031,hpotter3,Harry Potter,7408.61
e0032,rwesley3,Ron Weasley,7452.49
e0033,ssnape3,Severus Snape,7496.37
e0034,rhagrid3,Rubeus Hagrid,7540.26
e0035,voldemort3,Lord Voldemort,7584.14
e0036,gwesley3,Ginny Weasley,7628.03
e0037,hgranger3,Hermione Granger,7671.91
e0038,adumbledore3,Albus Dumbledore,7715.79
e0039,dmalfoy3,Draco Malfoy,7759.68
e0040,basilisk3,Basilisk,7803.56
e0041,hpotter4,Harry Potter,7847.44
e0042,rwesley4,Ron Weasley,7891.33
e0043,ssnape4,Severus Snape,7935.21
e0044,rhagrid4,Rubeus Hagrid,7979.10
e0045,voldemort4,Lord Voldemort,8022.98
e0046,gwesley4,Ginny Weasley,8066.86
e0047,hgranger4,Hermione Granger,8110.75
e0048,adumbledore4,Albus Dumbledore,8154.63
e0049,dmalfoy4,Draco Malfoy,8198.52
e0050,basilisk4,Basilisk,8242.40
e0051,hpotter5,Harry Potter,8286.28
e0052,rwesley5,Ron Weasley,8330.17
e0053,ssnape5,Severus Snape,8374.05
e0054,rhagrid5,Rubeus Hagrid,8417.93
e0055,voldemort5,Lord Voldemort,8461.82
e0056,gwesley5,Ginny Weasley,8505.70
e0057,hgranger5,Hermione Granger,8549.59
e0058,adumbledore5,Albus Dumbledore,8593.47
e0059,dmalfoy5,Draco Malfoy,8637.35
e0060,basilisk5,Basilisk,8681.24
e0061,hpotter6,Harry Potter,8725.12
e0062,rwesley6,Ron Weasley,8769.01
e0063,ssnape6,Severus Snape,8812.89
e0064,rhagrid6,Rubeus Hagrid,8856.77
e0065,voldemort6,Lord Voldemort,8900.66
e0066,gwesley6,Ginny Weasley,8944.54
e0067,hgranger6,Hermione Granger,8988.42
e0068,adumbledore6,Albus Dumbledore,9032.31
e0069,dmalfoy6,Draco Malfoy,9076.19
e0070,basilisk6,Basilisk,9120.08
e0071,hpotter7,Harry Potter,9163.96
e0072,rwesley7,Ron Weasley,9207.84
e0073,ssnape7,Severus Snape,9251.73
e0074,rhagrid7,Rubeus Hagrid,9295.61
e0075,voldemort7,Lord Voldemort,9339.50
e0076,gwesley7,Ginny Weasley,9383.38
e0077,hgranger7,Hermione Granger,9427.26
e0078,adumbledore7,Albus Dumbledore,9471.15
e0079,dmalfoy7,Draco Malfoy,9515.03
e0080,basilisk7,Basilisk,9558.91
e0081,hpotter8,Harry Potter,9602.80
e0082,rwesley8,Ron Weasley,9646.68
e0083,ssnape8,Severus Snape,9690.57
e0084,rhagrid8,Rubeus Hagrid,9734.45
e0085,voldemort8,Lord Voldemort,9778.33
e0086,gwesley8,Ginny Weasley,9822.22
e0087,hgranger8,Hermione Granger,9866.10
e0088,adumbledore8,Albus Dumbledore,9909.99
e0089,dmalfoy8,Draco Malfoy,9953.87
e0090,basilisk8,Basilisk,9997.75
e0091,hpotter9,Harry Potter,10041.64
e0092,rwesley9,Ron Weasley,10085.52
e0093,ssnape9,Severus Snape,10129.40
e0094,rhagrid9,Rubeus Hagrid,10173.29
e0095,voldemort9,Lord Voldemort,10217.17
e0096,gwesley9,Ginny Weasley,10261.06
e0097,hgranger9,Hermione Granger,10304.94
e0098,adumbledore9,Albus Dumbledore,10348.82
e0099,dmalfoy9,Draco Malfoy,10392.71
e0100,basilisk9,Basilisk,10392.71
e0101,basilisk10,Basilisk,10392.71
e0102,basilisk11,Basilisk,10392.71
e0103,basilisk12,Basilisk,10392.71
e0104,basilisk13,Basilisk,10392.71
e0105,basilisk14,Basilisk,10392.71
